id,content,category
655,Frequent sinus pressure around my forehead,ent
656,Sore throat that keeps coming back,ent
657,Snoring loudly while sleeping,ent
658,Itching and discomfort inside my ear,ent
659,Reduced sense of smell for several weeks,ent
660,Frequent nosebleeds without an obvious injury,ent
661,Voice has been hoarse for several weeks,ent
662,Swollen and painful tonsils,ent
663,Ear pain with a feeling of fullness,ent
664,Nasal congestion that is worse at night,ent
665,Constantly clearing my throat,ent
666,Mucus dripping from my nose into my throat,ent
667,Recurring sinus pressure with headache,ent
668,Ear pain becomes worse during flights,ent
669,Frequent sore throats during the year,ent
670,Ear buzzing after attending a loud concert,ent
671,Nasal allergies causing repeated sneezing,ent
672,Trouble hearing conversations in crowded places,ent
673,Feeling pressure inside my ears,ent
674,Blocked nose with difficulty breathing through it,ent
675,Recurring ear infections,ent
676,Throat irritation that has lasted several weeks,ent
677,Frequent sinus congestion in the morning,ent
678,One ear feels blocked after swimming,ent
679,Hearing seems reduced in my left ear,ent
680,Frequent post nasal drip,ent
681,Sinus pain around my cheeks and nose,ent
682,My ears hurt when I swallow,ent
683,Persistent nasal discharge and congestion,ent
684,Voice changes after prolonged throat irritation,ent
685,Recurring tonsil swelling and throat pain,ent
686,Ear discharge with discomfort,ent
687,Difficulty breathing through my nose while sleeping,ent
688,Loss of smell after repeated nasal congestion,ent
689,Ringing in my ears occurs every day,ent
690,Sore throat with swollen glands,ent
691,Frequent sneezing with an itchy nose,ent
692,Sinus pressure gets worse when I bend forward,ent
693,Hearing difficulty that has gradually increased,ent
694,Feeling something is blocking my ear,ent
695,Recurring nose blockage throughout the year,ent
696,Throat feels irritated and I keep coughing,ent
697,Ear discomfort after exposure to loud music,ent
698,Frequent sinus headaches with congestion,ent
699,Nosebleeds occurring several times a month,ent
700,My voice has remained hoarse for many days,ent
701,Painful swallowing with throat irritation,ent
702,Recurring ear pain without an obvious injury,ent
703,One side of my nose is frequently blocked,ent
704,Pressure and fullness in both ears,ent
705,Chronic nasal congestion with sneezing,ent
706,Throat pain that returns frequently,ent
707,Reduced hearing after an ear infection,ent
708,Itchy ears with occasional discharge,ent
709,Sinus congestion accompanied by facial pressure,ent
710,Frequent throat clearing throughout the day,ent
711,Blocked ears during air travel,ent
712,Persistent runny nose with nasal irritation,ent
713,Recurring sinus infections,ent
714,Difficulty hearing high pitched sounds,ent
715,Throat feels dry and irritated frequently,ent
716,Frequent nasal allergy symptoms in the morning,ent
717,Ear ringing that started after loud noise exposure,ent
718,Recurring ear fullness and reduced hearing,ent
719,Chronic sinus pressure around my eyes,ent
720,Frequent sore throat without improvement,ent
721,Nasal blockage that makes sleeping difficult,ent
722,Hoarse voice after speaking for long periods,ent
723,Persistent ear discomfort with mild hearing loss,ent
724,Recurring nasal congestion and loss of smell,ent
725,Throat irritation with frequent post nasal drip,ent
726,Sudden severe chest pain with difficulty breathing,emergency
727,Suddenly unable to move one side of my body,emergency
728,Severe difficulty breathing that started suddenly,emergency
729,Heavy bleeding that will not stop,emergency
730,Loss of consciousness after a sudden collapse,emergency
731,Sudden inability to speak clearly,emergency
732,Severe allergic reaction with swelling of the throat,emergency
733,Severe chest pressure with cold sweating,emergency
734,Sudden loss of vision in one eye,emergency
735,Severe breathing difficulty with bluish lips,emergency
736,Unconscious after suffering a serious fall,emergency
737,Severe head injury followed by repeated vomiting,emergency
738,Seizure that has continued for several minutes,emergency
739,Sudden confusion and difficulty understanding speech,emergency
740,Major bleeding after a serious accident,emergency
741,Severe abdominal pain with persistent vomiting,emergency
742,Sudden weakness affecting one side of the body,emergency
743,Severe shortness of breath while sitting still,emergency
744,Crushing chest pain with severe sweating,emergency
745,Severe burns covering a large part of the body,emergency
746,Sudden inability to speak or understand words,emergency
747,Unresponsive person after a major accident,emergency
748,Severe allergic reaction causing difficulty breathing,emergency
749,Coughing up a large amount of blood,emergency
750,Severe asthma attack with difficulty breathing,emergency
751,Sudden collapse with no response to surrounding people,emergency
752,Heavy bleeding following a deep injury,emergency
753,Severe chest pain spreading toward the arm,emergency
754,Sudden facial drooping with weakness in one arm,emergency
755,Severe breathing problems with blue fingertips,emergency
756,Poisoning after accidentally swallowing a harmful substance,emergency
757,Overdose after taking too much medication,emergency
758,Severe dehydration with confusion and extreme weakness,emergency
759,Sudden loss of consciousness without warning,emergency
760,Severe abdominal pain with blood in vomit,emergency
761,Sudden difficulty speaking accompanied by facial weakness,emergency
762,Severe injury after a major road accident,emergency
763,Continuous seizure with no recovery between episodes,emergency
764,Sudden severe headache with confusion and weakness,emergency
765,Severe chest pain accompanied by breathlessness,emergency
766,Severe bleeding after a serious fall,emergency
767,Sudden inability to see clearly in one eye,emergency
768,Severe swelling of the face and throat after an allergic reaction,emergency
769,Extreme difficulty breathing with blue lips,emergency
770,Person is unconscious and cannot be awakened,emergency
771,Severe head trauma after a high impact accident,emergency
772,Sudden weakness and numbness on one side of the body,emergency
773,Heavy uncontrolled bleeding from a wound,emergency
774,Severe chest pressure with rapid breathing,emergency
775,Severe difficulty breathing during a sudden asthma attack,emergency
776,Sudden confusion followed by difficulty speaking,emergency
777,Severe abdominal pain with fainting,emergency
778,Unconsciousness following a head injury,emergency
779,Sudden loss of movement in an arm or leg,emergency
780,Severe allergic reaction with swelling of the tongue,emergency
781,Large burn injury involving the face,emergency
782,Severe bleeding after a workplace accident,emergency
783,Sudden collapse with abnormal breathing,emergency
784,Severe chest pain that began suddenly,emergency
785,Repeated vomiting after a serious head injury,emergency
786,Sudden difficulty walking with severe weakness,emergency
787,Severe shortness of breath with blue discoloration around the lips,emergency
788,Sudden inability to talk normally,emergency
789,Severe poisoning with loss of consciousness,emergency
790,Severe dehydration with fainting,emergency
791,Seizure lasting longer than five minutes,emergency
792,Sudden weakness on one side with difficulty speaking,emergency
793,Severe abdominal pain with heavy bleeding,emergency
794,Unconscious after falling from a height,emergency
795,Severe chest pain with a very fast heartbeat,emergency
796,Sudden vision loss accompanied by severe headache,emergency
797,Severe breathing difficulty with confusion,emergency
798,Major accident with multiple serious injuries,emergency
799,Severe allergic reaction causing throat swelling and breathing difficulty,emergency
800,Sudden collapse with severe chest pain and difficulty breathing,emergency
801,Sudden weakness in my right arm and difficulty speaking,emergency
802,Sudden facial drooping with trouble speaking,emergency
803,I suddenly cannot lift one side of my body,emergency
804,Sudden numbness on one side with unclear speech,emergency
805,I suddenly became unable to speak properly,emergency
806,Sudden confusion with weakness in one arm,emergency
807,Sudden difficulty walking with facial drooping,emergency
808,My speech suddenly became slurred and one side feels weak,emergency
809,Sudden loss of strength in my left leg and difficulty speaking,emergency
810,I suddenly developed numbness on one side of my body,emergency
811,Sudden inability to understand what people are saying,emergency
812,My face suddenly drooped and I cannot raise one arm,emergency
813,Sudden weakness in my arm together with unclear speech,emergency
814,I suddenly cannot speak normally and feel confused,emergency
815,Sudden loss of coordination with weakness on one side,emergency
816,My left side suddenly became weak and numb,emergency
817,Sudden trouble speaking followed by weakness in my face,emergency
818,I suddenly lost control of one side of my body,emergency
819,Sudden confusion and difficulty moving one arm,emergency
820,My speech became unclear suddenly and my face feels numb,emergency
821,Sudden weakness in one leg with difficulty walking,emergency
822,I suddenly cannot move my right arm normally,emergency
823,Sudden numbness in my face and difficulty speaking,emergency
824,My balance suddenly became severely impaired with weakness,emergency
825,Sudden difficulty speaking with weakness on one side,emergency
826,Severe pressure around my eyes with a completely blocked nose,ent
827,Persistent sinus pressure with thick nasal discharge,ent
828,My nose has been blocked for weeks and I have facial pressure,ent
829,Reduced smell together with persistent sinus congestion,ent
830,Pain around my cheeks with severe nasal congestion,ent
831,Frequent sinus pressure that becomes worse when bending forward,ent
832,Blocked nose with pressure around my forehead,ent
833,Constant nasal congestion with difficulty breathing through my nose,ent
834,Facial pressure and loss of smell after prolonged nasal blockage,ent
835,Recurring sinus discomfort with a blocked nose,ent
836,Pressure around my eyes and cheeks with nasal congestion,ent
837,Persistent nasal blockage with reduced ability to smell,ent
838,Sinus pressure accompanied by thick nasal mucus,ent
839,My nose stays blocked and I have recurring facial pain,ent
840,Head pressure with nasal congestion and reduced smell,ent
841,Recurring stomach pain after eating meals,gastroenterologist
842,Persistent heartburn and acid reflux after dinner,gastroenterologist
843,Frequent abdominal cramps with changes in bowel movements,gastroenterologist
844,Bloating and indigestion occurring after most meals,gastroenterologist
845,Recurring constipation with abdominal discomfort,gastroenterologist
846,Frequent diarrhea accompanied by stomach cramps,gastroenterologist
847,Persistent nausea with recurring stomach pain,gastroenterologist
848,Abdominal discomfort and bloating that have lasted for weeks,gastroenterologist
849,Recurring vomiting and stomach pain after eating,gastroenterologist
850,Chronic digestive discomfort with frequent acid reflux,gastroenterologist
